,ID,City,Restaurant,Average Cost for two,Aggregate rating,Votes,Cuisine,Address,Price Range
8389,423950,Bangalore,Sri Sai Ram Juice And Chats,300.0,2.9,80,Snacks,"Malleshwaram, Malleshwaram, Bangalore",1
8390,424107,Ahmedabad,Spicebox,500.0,2.9,80,"Indian,Pastas,Snacks","Satellite, Prahlad Nagar, Ahmedabad",1
8391,424125,Delhi,Radhey Shyam Ki Rasoi,600.0,2.9,80,"North Indian,Chinese,Snacks,Thalis","Rohini, Sector -6, Delhi",1
8392,424595,Ahmedabad,Vipul Dudhiya Sweets (Nilkanth Enterprise),400.0,2.9,80,"Sweets,Snacks,Bakery","Isanpur, Isanpur, Ahmedabad",1
8393,424609,Bangalore,Bikaner Sweets,198.0,3.7,20,Sweets,"Jayanagar, Jayanagar, Bangalore",1
8394,424620,Bangalore,Rj 14 Kitchen,600.0,2.9,80,"North Indian,Thalis","Rajajinagar, Rajajinagar, Bangalore",1
8395,424656,Bangalore,89 Express Dhaba,640.0,2.9,80,North Indian,"Rajajinagar, Rajajinagar, Bangalore",1
8396,424870,Hyderabad,Govindaas Sweet And Snacks,400.0,2.9,80,"Snacks,Fast Food","Himayath Nagar, Himayath Nagar, Hyderabad",1
8397,425092,Delhi,Hariram Sweets,400.0,3.7,20,Indian,"Rohini, Rohini, Delhi",1
8398,425118,Surat,Waterbomb Pani-Puri Shop,310.0,2.9,80,Snacks,"Sarthana, Sarthana, Surat",1
8399,425144,Mumbai,Ms Dhamaka Food Factory,400.0,2.9,80,"Continental,Pizzas,Pastas","Scruz Bandra East, Scruz Bandra East, Mumbai",1
8400,425357,Hyderabad,Apple Cut,600.0,3.9,50,Healthy Food  Salads  Chaat,"Himayath Nagar, Himayath Nagar, Hyderabad",1
8401,425478,Delhi,Pasta Rasta.Com,400.0,2.9,80,"Italian,Chinese,Fast Food,Beverages","Rohini, Rohini, Delhi",1
8402,425482,Chennai,Sk Chats,800.0,2.9,80,"Chaat,Snacks","Kodambakkam, Kodambakkam, Chennai",1
